variable_name,units,value,uncertainty
time_to_boil_hp,min,30.0,
fuel_mass_hp,kg,1.5434999999999997,0.0
fuel_dry_mass_hp,kg,1.3505624999999997,0.0
char_mass_hp,kg,0.043999999999999984,0.0
initial_water_mass_pot1_hp,kg,5.0,0.0
final_water_mass_pot1_hp,kg,4.728,0.0
useful_energy_delivered_pot1_hp,kJ,2412.4015200000003,0.0
initial_water_mass_pot2_hp,kg,2.5,0.0
final_water_mass_pot2_hp,kg,2.477,0.0
useful_energy_delivered_pot2_hp,kJ,584.9538050000002,0.0
initial_water_mass_pot3_hp,kg,2.5,0.0
final_water_mass_pot3_hp,kg,2.479,0.0
useful_energy_delivered_pot3_hp,kJ,591.9267349999998,0.0
initial_water_mass_pot4_hp,kg,,
final_water_mass_pot4_hp,kg,,
useful_energy_delivered_pot4_hp,kJ,,
useful_energy_delivered_hp,kJ,3589.2820600000005,0.0
cooking_power_hp,kW,1.994045588888889,0.0
eff_wo_char_hp,%,14.031361831725597,0.0
eff_w_char_hp,%,14.829767462192184,0.0
char_energy_productivity_hp,%,5.3838041122498135,0.0
char_mass_productivity_hp,%,2.8506640751538708,0.0
burn_rate_hp,g/min,51.44999999999999,0.0
firepower_hp,kW,13.446236388888885,0.0
phase_time_mp,min,,
time_to_boil_mp,min,,
fuel_mass_mp,kg,,
fuel_dry_mass_mp,kg,,
char_mass_mp,kg,,
initial_water_mass_pot1_mp,kg,,
final_water_mass_pot1_mp,kg,,
useful_energy_delivered_pot1_mp,kJ,,
initial_water_mass_pot2_mp,kg,,
final_water_mass_pot2_mp,kg,,
useful_energy_delivered_pot2_mp,kJ,,
initial_water_mass_pot3_mp,kg,,
final_water_mass_pot3_mp,kg,,
useful_energy_delivered_pot3_mp,kJ,,
initial_water_mass_pot4_mp,kg,,
final_water_mass_pot4_mp,kg,,
useful_energy_delivered_pot4_mp,kJ,,
useful_energy_delivered_mp,kJ,,
cooking_power_mp,kW,,
eff_wo_char_mp,%,,
eff_w_char_mp,%,,
char_energy_productivity_mp,%,,
char_mass_productivity_mp,%,,
burn_rate_mp,g/min,,
firepower_mp,kW,,
phase_time_lp,min,,
time_to_boil_lp,min,,
fuel_mass_lp,kg,,
fuel_dry_mass_lp,kg,,
char_mass_lp,kg,,
initial_water_mass_pot1_lp,kg,,
final_water_mass_pot1_lp,kg,,
useful_energy_delivered_pot1_lp,kJ,,
initial_water_mass_pot2_lp,kg,,
final_water_mass_pot2_lp,kg,,
useful_energy_delivered_pot2_lp,kJ,,
initial_water_mass_pot3_lp,kg,,
final_water_mass_pot3_lp,kg,,
useful_energy_delivered_pot3_lp,kJ,,
initial_water_mass_pot4_lp,kg,,
final_water_mass_pot4_lp,kg,,
useful_energy_delivered_pot4_lp,kJ,,
useful_energy_delivered_lp,kJ,,
cooking_power_lp,kW,,
eff_wo_char_lp,%,,
eff_w_char_lp,%,,
char_energy_productivity_lp,%,,
char_mass_productivity_lp,%,,
burn_rate_lp,g/min,,
firepower_lp,kW,,
