variable_name,units,value,uncertainty
fuel_dry_mass_mp,kg,0.28174999999999994,0.0
char_mass_mp,kg,0.007000000000000006,0.0
initial_water_mass_pot1_mp,kg,6.422,0.0
final_water_mass_pot1_mp,kg,6.169999999999999,0.0
useful_energy_delivered_pot1_mp,kJ,,
initial_water_mass_pot2_mp,kg,,
final_water_mass_pot2_mp,kg,,
useful_energy_delivered_pot2_mp,kJ,,
initial_water_mass_pot3_mp,kg,,
final_water_mass_pot3_mp,kg,,
useful_energy_delivered_pot3_mp,kJ,,
initial_water_mass_pot4_mp,kg,,
final_water_mass_pot4_mp,kg,,
useful_energy_delivered_pot4_mp,kJ,,
useful_energy_delivered_mp,kJ,,
cooking_power_mp,kW,,
eff_wo_char_mp,%,,
eff_w_char_mp,%,,
char_energy_productivity_mp,%,3.523013268140708,0.0
char_mass_productivity_mp,%,2.1739130434782634,0.0
burn_rate_mp,g/min,10.70360110803324,0.0
firepower_mp,kW,3.3241041551246533,0.0
phase_time_lp,min,45.0,
time_to_boil_lp,min,,
fuel_mass_lp,kg,0.20399999999999996,0.0
fuel_dry_mass_lp,kg,0.17849999999999996,0.0
char_mass_lp,kg,0.006000000000000005,0.0
initial_water_mass_pot1_lp,kg,6.169999999999999,0.0
final_water_mass_pot1_lp,kg,5.3999999999999995,0.0
useful_energy_delivered_pot1_lp,kJ,,
initial_water_mass_pot2_lp,kg,,
final_water_mass_pot2_lp,kg,,
useful_energy_delivered_pot2_lp,kJ,,
initial_water_mass_pot3_lp,kg,,
final_water_mass_pot3_lp,kg,,
useful_energy_delivered_pot3_lp,kJ,,
initial_water_mass_pot4_lp,kg,,
final_water_mass_pot4_lp,kg,,
useful_energy_delivered_pot4_lp,kJ,,
useful_energy_delivered_lp,kJ,,
cooking_power_lp,kW,,
eff_wo_char_lp,%,,
eff_w_char_lp,%,,
char_energy_productivity_lp,%,4.766429715719781,0.0
char_mass_productivity_lp,%,2.941176470588238,0.0
burn_rate_lp,g/min,4.533333333333333,0.0
firepower_lp,kW,1.389724444444444,0.0
PMsample_mass_hp,g,0.0018900000000000028,0.0
Qsample_hp,l/min,16.7,0.0
phase_time_hp,min,29.783333333333335,
PMmass_hp,gm^-3,0.0037998988034005166,0.0
PMsample_mass_mp,g,0.0018699999999999828,0.0
Qsample_mp,l/min,16.7,0.0
phase_time_mp,min,30.083333333333332,
PMmass_mp,gm^-3,0.005224003130740976,0.0
PMsample_mass_lp,g,0.0007199999999999984,0.0
Qsample_lp,l/min,16.7,0.0
phase_time_lp,min,45.0,
PMmass_lp,gm^-3,0.001905866652473567,0.0
CO_mp,ppm,51.83315259316964,0.0
CO_lp,ppm,20.24727374989582,0.0
CO2_hp,ppm,1359.982708752515,0.0
CO2_mp,ppm,1361.663374049607,0.0
CO2_lp,ppm,717.162680223352,0.0
PM_hp,Mm^-1,8637.440738179077,0.0
PM_mp,Mm^-1,11874.531347376296,0.0
PM_lp,Mm^-1,4332.170701725146,0.0
P_amb,Pa,99209.79999999999,0.0
P_duct,Pa,99209.79999999999,0.0
MCE_hp,mol/mol,0.9671431819823662,0.0
MW_duct_hp,g/mol,29.0,
density_hp,gm^-3,1161.086109500775,0.0
mass_flow_hp,g/sec,152.3682403415559,
mole_flow_hp,mol/sec,5.254077253157098,
vol_flow_hp,m^3/sec,0.13123062541845218,
totvol_hp,m^3,234.77026077944635,
COmass_hp,gm^-3,0.05195999750523955,0.0
CO_total_mass_hp,g,3.032285703911742,
CO_fuel_dry_mass_hp,g/kg,10.932080050154996,0.0
CO_fuel_energy_hp,g/MJ,0.49526613046938067,0.0
CO_fuel_energy_w_char_hp,g/MJ,0.5136474210302101,0.0
CO_useful_eng_deliver_hp,g/MJ,,
CO_mass_time_hp,g/min,0.40610969248817974,
CO2mass_hp,gm^-3,2.3963200756019183,0.0
CO2_total_mass_hp,g,140.73372241903817,
CO2_fuel_dry_mass_hp,g/kg,507.3770974999122,0.0
CO2_fuel_energy_hp,g/MJ,22.986173776142856,0.0
CO2_fuel_energy_w_char_hp,g/MJ,23.839281858984233,0.0
CO2_useful_eng_deliver_hp,g/MJ,,
CO2_mass_time_hp,g/min,18.8482663954069,
PMmass_hp,gm^-3,0.0037998988034005166,0.0
PM_total_mass_hp,g,0.22145884979410657,
PM_fuel_dry_mass_hp,g/kg,0.7984095531107942,0.0
PM_fuel_energy_hp,g/MJ,0.03617108620544397,0.0
PM_fuel_energy_w_char_hp,g/MJ,0.037513538686119265,0.0
PM_useful_eng_deliver_hp,mg/MJ,,
PM_mass_time_hp,mg/min,29.659667383139276,
PM_heat_mass_time_hp,g/hr,1.7795800429883564,
MCE_mp,mol/mol,0.9633298337730765,0.0
MW_duct_mp,g/mol,29.0,
density_mp,gm^-3,1157.218918927489,0.0
mass_flow_mp,g/sec,150.80627470806792,
mole_flow_mp,mol/sec,5.200216369243723,
vol_flow_mp,m^3/sec,0.1303184999674209,
totvol_mp,m^3,235.21478792861043,
COmass_mp,gm^-3,0.058087998618301405,0.0
CO_total_mass_mp,g,3.4015846153533125,
CO_fuel_dry_mass_mp,g/kg,12.073059859284164,0.0
CO_fuel_energy_mp,g/MJ,0.5469569937285722,0.0
CO_fuel_energy_w_char_mp,g/MJ,0.5669300133188677,0.0
CO_useful_eng_deliver_mp,g/MJ,,
CO_mass_time_mp,g/min,0.4515377807991123,
CO2mass_mp,gm^-3,2.391468653822817,0.0
CO2_total_mass_mp,g,140.70829155978598,
CO2_fuel_dry_mass_mp,g/kg,499.40831077120146,0.0
CO2_fuel_energy_mp,g/MJ,22.625156462918156,0.0
CO2_fuel_energy_w_char_mp,g/MJ,23.451350658163456,0.0
CO2_useful_eng_deliver_mp,g/MJ,,
CO2_mass_time_mp,g/min,18.67809179997159,
PMmass_mp,gm^-3,0.005224003130740976,0.0
PM_total_mass_mp,g,0.30674897151199004,
PM_fuel_dry_mass_mp,g/kg,1.0887274942750313,0.0
PM_fuel_energy_mp,g/MJ,0.04932362832611849,0.0
PM_fuel_energy_w_char_mp,g/MJ,0.05112476041898446,0.0
PM_useful_eng_deliver_mp,mg/MJ,,
PM_mass_time_mp,mg/min,40.71889002371549,
PM_heat_mass_time_mp,g/hr,2.443133401422929,
MCE_lp,mol/mol,0.9725427170588067,0.0
MW_duct_lp,g/mol,29.0,
density_lp,gm^-3,1157.2116483706436,0.0
mass_flow_lp,g/sec,150.25544117464966,
mole_flow_lp,mol/sec,5.181222109470674,
vol_flow_lp,m^3/sec,0.12984235684433137,
totvol_lp,m^3,350.717804256987,
COmass_lp,gm^-3,0.02262786149767514,0.0
CO_total_mass_lp,g,1.9844211813355697,
CO_fuel_dry_mass_lp,g/kg,11.117205497678263,0.0
CO_fuel_energy_lp,g/MJ,0.5036530397881579,0.0
CO_fuel_energy_w_char_lp,g/MJ,0.5288608190207624,0.0
CO_useful_eng_deliver_lp,g/MJ,,
CO_mass_time_lp,g/min,0.1761320575149914,
CO2mass_lp,gm^-3,1.2593637301505651,0.0
CO2_total_mass_lp,g,110.54150225220675,
CO2_fuel_dry_mass_lp,g/kg,619.2801246622229,0.0
CO2_fuel_energy_lp,g/MJ,28.055820082812726,0.0
CO2_fuel_energy_w_char_lp,g/MJ,29.460010791429685,0.0
CO2_useful_eng_deliver_lp,g/MJ,,
CO2_mass_time_lp,g/min,9.811375939544979,
PMmass_lp,gm^-3,0.001905866652473567,0.0
PM_total_mass_lp,g,0.1671963363531572,
PM_fuel_dry_mass_lp,g/kg,0.9366741532389761,0.0
PM_fuel_energy_lp,g/MJ,0.042435015226473236,0.0
PM_fuel_energy_w_char_lp,g/MJ,0.04455888307012028,0.0
PM_useful_eng_deliver_lp,mg/MJ,,
PM_mass_time_lp,mg/min,14.839911510635256,
PM_heat_mass_time_lp,g/hr,0.8903946906381153,
MCE_full,mol/mol,0.9667472170907198,0.0
MW_duct_full,g/mol,29.0,
density_full,gm^-3,1160.7588754797584,0.0
mass_flow_full,g/sec,151.14244901547661,
mole_flow_full,mol/sec,5.211808586740582,
vol_flow_full,m^3/sec,0.13021209268370112,
totvol_full,m^3,1146.3170891003685,
COmass_full,gm^-3,0.03139992190087436,0.0
CO_total_mass_full,g,8.975897738704475,
CO_fuel_dry_mass_full,g/kg,,
CO_fuel_energy_full,g/MJ,,
CO_fuel_energy_w_char_full,g/MJ,,
CO_useful_eng_deliver_full,g/MJ,,
CO_mass_time_full,g/min,0.24468599015096254,
CO2mass_full,gm^-3,1.413491027764789,0.0
CO2_total_mass_full,g,405.6787651808452,
CO2_fuel_dry_mass_full,g/kg,,
CO2_fuel_energy_full,g/MJ,,
CO2_fuel_energy_w_char_full,g/MJ,,
CO2_useful_eng_deliver_full,g/MJ,,
CO2_mass_time_full,g/min,11.058939532417407,
PMmass_full,gm^-3,0.0025928723074931806,0.0
PM_total_mass_full,g,0.7417256021712406,
PM_fuel_dry_mass_full,g/kg,,
PM_fuel_energy_full,g/MJ,,
PM_fuel_energy_w_char_full,g/MJ,,
PM_useful_eng_deliver_full,mg/MJ,,
PM_mass_time_full,mg/min,20.219689291355945,
PM_heat_mass_time_full,g/hr,1.2131813574813568,
